stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
11075,11075,Boren Ave & Seneca St,Boren Avenue and Seneca Street,,47.6103745,-122.32621,1,,0,,America/Los_Angeles,1
11080,11080,E Pine St & Broadway,East Pine Street and Broadway,,47.615303,-122.321495,1,,0,,America/Los_Angeles,1
11085,11085,Boren Ave & Madison St,Boren Avenue and Madison Street,,47.6089554,-122.324913,1,,0,,America/Los_Angeles,1
11087,11087,Boren Ave & Columbia St,Boren Avenue and Columbia Street,,47.6075935,-122.323669,1,,0,,America/Los_Angeles,1
11090,11090,E Pine St & Belmont Ave,East Pine Street and Belmont Avenue,,47.6152878,-122.325127,1,,0,,America/Los_Angeles,1
111,111,E Madison St & Martin L King Jr Way E,East Madison Street and Martin Luther King Jr Way East,,47.6226578,-122.297264,1,,0,,America/Los_Angeles,1
1110,1110,Pine St & 5th Ave,Pine Street and Fifth Avenue,,47.6117668,-122.336456,21,,0,,America/Los_Angeles,1
11100,11100,E Pine St & Bellevue Ave,East Pine Street and Bellevue Avenue,,47.6152992,-122.327271,1,,0,,America/Los_Angeles,1
11130,11130,Pike St & Convention Pl,Pike Street and Convention Place,,47.6123695,-122.33136,21,,0,,America/Los_Angeles,1
11133,11133,Pike St & Minor Ave,Pike Street and Minor Avenue,,47.6137848,-122.327957,1,,0,,America/Los_Angeles,1
11140,11140,E Pine St & Summit Ave,East Pine Street and Summit Avenue,,47.6151581,-122.324638,1,,0,,America/Los_Angeles,1
11150,11150,E Pine St & Harvard Ave,East Pine Street and Harvard Avenue,,47.6151619,-122.321617,1,,0,,America/Los_Angeles,1
11175,11175,Broadway And Denny,Broadway And Denny,,47.6180534,-122.320946,1,,0,,America/Los_Angeles,1
11180,11180,Broadway  E & E John St - Bay 3,Broadway East and East John Street - Bay Three,,47.6197739,-122.32077,1,,0,,America/Los_Angeles,1
11190,11190,Broadway  E & E Harrison St,Broadway East and East Harrison Street,,47.6221962,-122.320816,1,,0,,America/Los_Angeles,1
11191,11191,10th Ave E & E Mercer St,10th Avenue East and East Mercer Street,,47.623951,-122.319992,1,,0,,America/Los_Angeles,1
